"","Name","URL","npcurl","locale","highdeg","control","Admission Rate","Size of School","Degree Type","ugds_men","ugds_women","preddeg","Enrollment","satvrmid","satmtmid","longitude","latitude","Average Debt","satwrmid","State","c150_l4","City","Tuition","Region","Sourrounding area"
"2796","Enterprise State Community College","www.escc.edu","www.escc.edu/NetPrice/npcalc.htm",32,2,1,NA,"Small","Associate Degree",0.6002,0.3998,2,1528,NA,NA,-85.836956,31.297496,7882,NA,"AL",0.2206,"Enterprise",9345,"Southeast","Suburban"
"2797","Miles College","www.miles.edu","https://miles.studentaidcalculator.com/survey.aspx",21,3,2,NA,"Small","Bachelor Degree",0.5104,0.4896,3,1869,NA,NA,-86.908605,33.481306,31881.5,NA,"AL",NA,"Fairfield",22168,"Southeast","Suburban"
"2798","Herzing University-Birmingham","www.herzing.edu/","www.herzing.edu/financial-aid/net-price-calculator",21,4,3,0.8222,"Small","Certificate Degree",0.3492,0.6508,1,360,NA,NA,-86.832299,33.468105,17946,NA,"AL",NA,"Birmingham",26546,"Southeast","Suburban"
"2799","Gadsden State Community College","www.gadsdenstate.edu","www.gadsdenstate.edu/net-price-calculator",13,2,1,NA,"Mid-sized","Certificate Degree",0.3793,0.6207,1,4613,NA,NA,-85.991299,33.991866,NA,NA,"AL",0.1551,"Gadsden",9607,"Southeast","Urban"
"2800","Cayuga Onondaga BOCES-Practical Nursing Program","www.cayboces.org","www.cayboces.org",41,1,1,NA,"Small","Certificate Degree",0.0294,0.9706,1,32,NA,NA,-76.616897,42.917744,8978,NA,"NY",0.8438,"Auburn",15854,"Northeast","Rural"
"2801","Birmingham Southern College","www.bsc.edu/","www.bsc.edu/fp/np-calculator.cfm",12,3,2,0.6522,"Small","Bachelor Degree",0.5326,0.4674,3,1346,555,560,-86.853636,33.515453,26000,535,"AL",NA,"Birmingham",46730,"Southeast","Urban"
"2802","Concordia College Alabama","www.ccal.edu/","www.ccal.edu/admissions/net-pricing-calculator/",32,3,2,NA,"Small","Associate Degree",0.581,0.419,2,379,NA,NA,-87.023531,32.42443,20250,NA,"AL",NA,"Selma",27036,"Southeast","Suburban"
"2803","Fullerton College","www.fullcoll.edu","https://webprod.cccco.edu/npc/862/npcalc.htm",21,2,1,NA,"Large","Associate Degree",0.4925,0.5075,2,22529,NA,NA,-117.916986,33.876794,4500,NA,"CA",0.262,"Fullerton",12006,"West","Suburban"
"2804","Cypress College","www.cypresscollege.edu","https://webprod.cccco.edu/npc/861/npcalc.htm",21,2,1,NA,"Large","Associate Degree",0.4504,0.5496,2,15175,NA,NA,-118.023889,33.827625,8000,NA,"CA",0.2943,"Cypress",11187,"West","Suburban"
"2805","El Camino Community College District","www.elcamino.edu","www.finaid.org/calculators/studentbudget.phtml",21,2,1,NA,"Large","Associate Degree",0.4779,0.5221,2,21885,NA,NA,-118.326623,33.885586,4500,NA,"CA",0.2817,"Torrance",14931,"West","Suburban"
"2806","Cuesta College","www.cuesta.edu","www.cuesta.edu/student/aboutmoney/finaid/resources/Net_Price_Calculator.html",23,2,1,NA,"Large","Associate Degree",0.4794,0.5206,2,7835,NA,NA,-120.741624,35.329859,8000,NA,"CA",0.3074,"San Luis Obispo",14774,"West","Suburban"
"2807","El Camino College-Compton Center","www.compton.edu","testsite.cccco.edu/npc/711/npcalc.htm",21,2,1,NA,"Large","Associate Degree",0.3537,0.6463,2,6484,NA,NA,-118.209186,33.876665,4500,NA,"CA",0.0964,"Compton",13736,"West","Suburban"
